iter	Passed	Remaining
0	160	160644
1	162	80935
2	163	54350
3	164	41043
4	166	33065
5	167	27768
6	170	24139
7	171	21292
8	172	19034
9	174	17238
10	175	15775
11	176	14558
12	178	13540
13	180	12723
14	186	12277
15	189	11623
16	190	11030
17	192	10509
18	194	10036
19	196	9621
20	198	9260
21	200	8900
22	201	8579
23	203	8283
24	205	8014
25	206	7753
26	208	7510
27	210	7305
28	213	7147
29	215	6959
30	216	6777
31	218	6603
32	219	6435
33	221	6288
34	222	6144
35	224	6015
36	226	5887
37	227	5767
38	229	5646
39	230	5535
40	232	5429
41	234	5349
42	236	5274
43	243	5280
44	246	5226
45	248	5156
46	251	5093
47	253	5020
48	256	4972
49	258	4910
50	260	4840
51	262	4782
52	264	4720
53	266	4663
54	267	4601
55	269	4543
56	271	4494
57	273	4449
58	275	4396
59	277	4341
60	278	4285
61	279	4231
62	281	4181
63	282	4130
64	283	4081
65	285	4037
66	288	4017
67	290	3978
68	291	3939
69	293	3901
70	295	3861
71	296	3825
72	298	3791
73	300	3761
74	304	3750
75	306	3720
76	310	3716
77	312	3699
78	321	3745
79	323	3720
80	325	3690
81	327	3661
82	328	3624
83	329	3596
84	334	3603
85	336	3581
86	340	3568
87	341	3544
88	343	3518
89	345	3489
90	347	3466
91	349	3452
92	351	3426
93	352	3399
94	353	3372
95	355	3345
96	356	3319
97	357	3294
98	359	3270
99	361	3251
100	364	3245
101	365	3222
102	367	3199
103	368	3176
104	370	3155
105	371	3132
106	372	3110
107	373	3088
108	375	3067
109	377	3057
110	379	3040
111	380	3020
112	382	2999
113	383	2980
114	384	2960
115	385	2941
116	387	2921
117	388	2903
118	389	2886
119	392	2881
120	394	2864
121	395	2845
122	406	2897
123	408	2888
124	410	2873
125	412	2859
126	413	2844
127	415	2832
128	423	2857
129	425	2845
130	427	2836
131	431	2836
132	435	2840
133	437	2826
134	438	2811
135	440	2799
136	442	2784
137	443	2769
138	444	2754
139	446	2739
140	447	2726
141	449	2715
142	450	2702
143	452	2689
144	453	2676
145	455	2662
146	456	2649
147	457	2636
148	459	2623
149	460	2611
150	462	2597
151	463	2587
152	465	2577
153	467	2567
154	468	2555
155	470	2543
156	471	2531
157	472	2520
158	474	2508
159	475	2498
160	476	2484
161	478	2474
162	480	2464
163	481	2454
164	482	2443
165	484	2434
166	488	2434
167	489	2425
168	492	2420
169	495	2419
170	498	2415
171	500	2407
172	501	2398
173	503	2388
174	504	2378
175	506	2372
176	508	2364
177	509	2354
178	511	2346
179	512	2336
180	514	2327
181	515	2317
182	517	2308
183	518	2300
184	520	2292
185	522	2285
186	523	2276
187	525	2268
188	526	2259
189	527	2250
190	529	2241
191	530	2233
192	532	2224
193	533	2216
194	535	2211
195	537	2205
196	539	2197
197	543	2200
198	545	2194
199	546	2187
200	548	2179
201	550	2172
202	552	2168
203	553	2161
204	555	2153
205	556	2145
206	558	2138
207	559	2130
208	561	2123
209	562	2116
210	563	2108
211	565	2103
212	567	2096
213	568	2088
214	570	2081
215	571	2074
216	573	2068
217	574	2061
218	576	2054
219	577	2047
220	579	2041
221	581	2038
222	583	2031
223	584	2024
224	585	2018
225	587	2011
226	589	2006
227	590	1999
228	591	1993
229	593	1986
230	594	1980
231	597	1978
232	599	1973
233	601	1967
234	602	1961
235	604	1955
236	605	1949
237	607	1943
238	608	1936
239	609	1931
240	611	1926
241	613	1920
242	614	1914
243	615	1908
244	617	1902
245	618	1896
246	620	1890
247	621	1884
248	622	1878
249	624	1873
250	626	1868
251	627	1862
252	628	1856
253	630	1850
254	631	1845
255	632	1839
256	634	1834
257	635	1828
258	637	1823
259	638	1817
260	641	1815
261	642	1809
262	643	1804
263	645	1799
264	646	1793
265	648	1788
266	649	1782
267	650	1777
268	652	1772
269	653	1767
270	656	1764
271	658	1761
272	661	1761
273	663	1757
274	664	1753
275	666	1748
276	668	1744
277	671	1743
278	672	1737
279	673	1733
280	675	1727
281	676	1722
282	678	1717
283	679	1712
284	680	1707
285	682	1702
286	683	1697
287	685	1694
288	688	1692
289	689	1688
290	691	1684
291	692	1679
292	694	1675
293	695	1670
294	697	1666
295	698	1662
296	700	1658
297	702	1654
298	703	1649
299	705	1645
300	706	1640
301	707	1636
302	709	1631
303	710	1627
304	712	1622
305	714	1620
306	716	1616
307	717	1612
308	719	1608
309	720	1604
310	722	1600
311	724	1596
312	725	1592
313	727	1588
314	730	1587
315	734	1589
316	735	1585
317	737	1581
318	738	1577
319	740	1573
320	742	1571
321	747	1573
322	748	1569
323	750	1565
324	752	1561
325	754	1559
326	756	1555
327	758	1553
328	761	1552
329	763	1550
330	765	1548
331	767	1544
332	769	1540
333	772	1540
334	775	1538
335	777	1536
336	779	1532
337	780	1529
338	783	1528
339	788	1530
340	790	1526
341	791	1523
342	794	1521
343	796	1519
344	798	1515
345	800	1512
346	802	1510
347	806	1511
348	808	1508
349	819	1521
350	821	1518
351	823	1516
352	825	1512
353	827	1509
354	828	1505
355	830	1502
356	834	1502
357	836	1500
358	838	1497
359	842	1497
360	844	1494
361	849	1496
362	851	1493
363	852	1490
364	854	1486
365	855	1482
366	856	1478
367	858	1474
368	859	1469
369	860	1465
370	862	1463
371	864	1460
372	866	1456
373	867	1452
374	868	1448
375	870	1444
376	871	1439
377	872	1435
378	873	1432
379	875	1427
380	876	1424
381	879	1422
382	880	1418
383	881	1414
384	882	1410
385	884	1406
386	885	1402
387	887	1399
388	894	1404
389	901	1410
390	904	1409
391	906	1406
392	910	1405
393	912	1402
394	913	1399
395	915	1395
396	916	1392
397	918	1389
398	919	1385
399	922	1383
400	924	1380
401	925	1376
402	926	1373
403	928	1369
404	930	1366
405	931	1362
406	932	1359
407	934	1355
408	935	1352
409	938	1349
410	939	1346
411	940	1342
412	941	1338
413	943	1335
414	944	1331
415	945	1327
416	947	1324
417	948	1321
418	950	1317
419	952	1315
420	954	1312
421	955	1309
422	957	1305
423	958	1302
424	959	1298
425	961	1295
426	962	1292
427	964	1288
428	968	1288
429	969	1285
430	971	1282
431	972	1279
432	974	1275
433	978	1276
434	984	1278
435	985	1275
436	987	1272
437	989	1269
438	991	1266
439	992	1263
440	994	1259
441	995	1256
442	997	1254
443	999	1251
444	1000	1247
445	1001	1244
446	1003	1241
447	1004	1237
448	1005	1234
449	1007	1230
450	1008	1227
451	1009	1223
452	1011	1220
453	1013	1218
454	1014	1215
455	1015	1211
456	1017	1208
457	1018	1205
458	1019	1201
459	1021	1198
460	1022	1195
461	1023	1192
462	1024	1188
463	1027	1186
464	1028	1183
465	1029	1180
466	1031	1177
467	1032	1173
468	1033	1170
469	1035	1167
470	1036	1164
471	1038	1161
472	1039	1158
473	1041	1155
474	1043	1152
475	1044	1149
476	1045	1146
477	1047	1143
478	1048	1140
479	1049	1137
480	1051	1134
481	1052	1131
482	1053	1128
483	1055	1124
484	1057	1123
485	1059	1120
486	1060	1116
487	1061	1114
488	1063	1110
489	1064	1107
490	1065	1104
491	1066	1101
492	1068	1098
493	1069	1095
494	1071	1093
495	1073	1090
496	1074	1087
497	1075	1084
498	1076	1081
499	1078	1078
500	1079	1074
501	1080	1072
502	1082	1069
503	1083	1066
504	1084	1063
505	1086	1060
506	1088	1058
507	1089	1055
508	1090	1052
509	1092	1049
510	1093	1046
511	1094	1043
512	1096	1041
513	1098	1038
514	1102	1038
515	1104	1035
516	1105	1033
517	1107	1030
518	1108	1027
519	1109	1024
520	1111	1021
521	1112	1018
522	1113	1016
523	1116	1014
524	1119	1012
525	1121	1010
526	1123	1008
527	1125	1005
528	1127	1003
529	1128	1000
530	1132	999
531	1133	997
532	1135	994
533	1136	991
534	1137	989
535	1139	986
536	1141	983
537	1142	981
538	1144	978
539	1146	976
540	1148	974
541	1150	971
542	1151	969
543	1153	966
544	1154	963
545	1155	960
546	1156	958
547	1158	955
548	1159	952
549	1162	951
550	1164	948
551	1165	945
552	1166	943
553	1168	940
554	1169	937
555	1170	935
556	1172	932
557	1173	929
558	1175	927
559	1177	925
560	1178	922
561	1180	919
562	1181	917
563	1182	914
564	1184	911
565	1185	908
566	1186	906
567	1187	903
568	1189	900
569	1191	898
570	1192	896
571	1194	893
572	1195	891
573	1197	888
574	1198	885
575	1200	883
576	1201	880
577	1202	878
578	1204	875
579	1206	873
580	1208	871
581	1210	869
582	1211	866
583	1213	864
584	1215	861
585	1216	859
586	1217	856
587	1219	854
588	1222	852
589	1223	850
590	1224	847
591	1226	845
592	1227	842
593	1230	841
594	1232	839
595	1234	837
596	1237	835
597	1238	832
598	1239	829
599	1241	827
600	1242	824
601	1243	822
602	1244	819
603	1246	816
604	1247	814
605	1248	812
606	1251	810
607	1252	807
608	1253	805
609	1255	802
610	1256	799
611	1257	797
612	1259	794
613	1260	792
614	1261	789
615	1262	787
616	1264	784
617	1265	782
